x,y
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
5,0
10,0
10,-1
10,-1
6,0
10,0
10,-1
10,-1
6,0
10,0
10,-1
10,-1
6,0
10,0
10,-1
10,-1
6,0
10,0
10,-1
10,-1
6,0
10,0
10,-1
10,-1
6,0
10,0
10,-1
10,-1
6,-1
9,0
10,-1
10,-1
6,-1
9,0
10,-1
10,-1
6,-1
9,0
9,-1
10,-1
6,-1
9,0
9,-1
10,-1
6,-1
9,0
9,-1
10,-1
6,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
7,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
8,-1
9,0
9,-1
9,-1
9,-1
9,0
9,-1
9,-1
9,-1
9,0
9,-1
9,-1
9,-1
9,0
9,-1
9,-1
9,-1
9,0
9,-1
9,-1
9,-1
0,0
9,0
9,-1
9,-1
9,-1
0,0
9,0
9,-1
9,-1
9,-1
0,0
9,0
9,-1
9,-1
9,-1
0,0
9,0
9,-1
9,-1
9,-1
0,0
8,0
9,-1
9,-1
9,-1
0,0
8,0
9,-1
9,-1
9,-1
1,0
8,0
9,-1
9,-1
9,-1
1,0
8,0
9,-1
9,-1
9,-1
1,0
8,0
8,-1
9,-1
9,-1
1,0
8,0
8,-1
9,-1
9,-1
1,0
8,0
8,-1
9,-1
9,-1
1,0
8,0
8,-1
8,-1
9,-1
1,0
8,0
8,-1
8,-1
9,-1
1,0
8,0
8,-1
8,-1
9,-1
1,0
8,0
8,0
8,-1
9,-1
1,0
8,0
8,-1
8,-1
8,-1
1,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,0
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,0
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
2,0
8,0
8,0
8,-1
8,-1
2,0
8,0
8,0
8,-1
8,-1
2,0
8,0
8,0
8,-1
8,-1
2,0
8,0
8,-1
8,-1
8,-1
3,0
8,0
8,-1
8,-1
8,-1
3,0
8,0
8,-1
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
3,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
4,0
8,0
8,0
8,-1
8,-1
5,0
8,0
8,0
8,-1
8,-1
5,0
7,0
8,0
8,-1
8,-1
5,-1
7,0
8,0
8,-1
8,-1
5,-1
7,0
8,0
8,-1
8,-1
5,-1
7,0
8,0
8,-1
8,-1
5,-1
7,0
7,0
8,-1
8,-1
5,-1
7,0
7,0
8,-1
8,-1
5,-1
7,0
7,0
8,-1
8,-1
5,-1
7,0
7,0
8,-1
8,-1
5,-1
7,0
7,0
8,-1
8,-1
5,-1
7,0
7,0
7,-1
8,-1
5,-1
7,0
7,0
7,-1
8,-1
5,-1
7,0
7,0
7,-1
8,-1
6,-1
7,0
7,0
7,-1
8,-1
6,-1
7,0
7,0
7,-1
8,-1
6,-1
7,0
7,0
7,-1
8,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
6,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
0,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
1,0
7,0
7,0
7,-1
7,-1
7,-1
2,0
7,0
7,-1
7,-1
7,-1
7,-1
2,0
7,0
7,0
7,-1
7,-1
7,-1
2,0
7,0
7,0
7,-1
7,-1
7,-1
2,0
7,0
7,0
7,-1
7,-1
7,-1
2,0
7,0
7,0
7,-1
7,-1
7,-1
2,0
7,0
7,0
7,-1
7,-1
7,-1
2,0
7,0
7,-1
7,-1
7,-1
7,-1
2,0
7,0
7,-1
7,-1
7,-1
7,-1
2,0
7,0
7,-1
7,-1
7,-1
7,-1
2,0
6,0
7,0
7,-1
7,-1
7,-1
2,0
6,0
7,-1
7,-1
7,-1
7,-1
2,0
6,0
7,0
7,-1
7,-1
7,-1
2,0
6,0
7,0
7,-1
7,-1
7,-1
2,0
6,0
7,-1
7,-1
7,-1
7,-1
3,0
6,0
7,-1
7,-1
7,-1
7,-1
3,0
6,0
7,-1
7,-1
7,-1
7,-1
3,0
6,0
7,0
7,-1
7,-1
7,-1
3,0
6,0
7,-1
7,-1
7,-1
7,-1
3,0
6,0
6,-1
7,-1
7,-1
7,-1
3,0
6,0
6,-1
7,-1
7,-1
7,-1
3,0
6,0
6,-1
7,-1
7,-1
7,-1
3,0
6,0
6,-1
7,-1
7,-1
7,-1
3,-1
6,0
6,-1
7,-1
7,-1
7,-1
3,-1
6,0
6,-1
7,-1
7,-1
7,-1
3,-1
6,0
6,-1
7,-1
7,-1
7,-1
3,-1
6,0
6,-1
7,-1
7,-1
7,-1
3,-1
6,0
6,-1
7,-1
7,-1
7,-1
3,-1
6,0
6,-1
7,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
4,-1
6,0
6,-1
6,-1
7,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
7,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
5,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-1
6,0
6,-1
6,-1
6,-1
7,-1
6,-2
6,0
6,-1
6,-1
6,-1
7,-2
6,-2
6,0
6,-1
6,-1
6,-1
7,-2
6,-2
6,-1
6,-1
6,-1
6,-1
7,-2
6,-2
6,-1
6,-1
6,-1
6,-1
7,-2
6,-2
6,-1
6,-1
6,-1
7,-1
7,-2
7,-2
6,-1
6,-1
6,-1
7,-1
7,-2
7,-2
6,-1
6,-1
6,-1
7,-1
7,-2
7,-2
6,-1
6,-1
6,-1
7,-1
7,-2
7,-2
6,-1
6,-1
6,-1
7,-2
7,-2
7,-2
6,-1
6,-1
6,-1
7,-2
7,-2
7,-2
0,0
